synset_id,gloss
69,"tính chất cong hướng xuống do tác động lực"
70,"tính chất hơn hẳn so với mức bình thường về khả năng"
71,"tính chất khó nhận biết, thiếu mạch lạc về hình thức."
72,"tính chất diễn ra rất nhanh trong thời gian ngắn"
73,"tính chất không phù hợp với điều kiện tồn tại thật"
74,"tính chất tạo ra nhiều sản phẩm hoặc kết quả"
75,"tính chất sang trọng của tầng lớp thượng lưu"
76,"tính chất tốt đẹp vượt quá mức bình thường"
77,"tính chất thiếu yếu tố phụ trợ thông thường"
78,"tính chất thích một bên hơn những bên còn lại."
79,"tính chất tách bạch, không phụ thuộc vào yếu tố khác"
80,"tính chất được công nhận theo quy tắc hoặc tiêu chuẩn"
81,"tính chất thể hiện tình cảm yêu thương sâu sắc"
82,"tính chất thể hiện thái độ qua cử chỉ hình thức"
83,"tính chất chứa phần nhỏ bên trong quả hoặc trái"
84,"tính chất cơ thể thấp bé và có nhiều thịt"
85,"tính chất có sợi nhỏ mềm bao phủ da động vật"
86,"tính chất kim loại thiếu độ cứng cáp do chưa qua xử lý nhiệt"
87,"tính chất có nhiệt độ vừa phải dễ chịu"
88,"tính chất có chiều dài hoặc thời gian nhỏ hơn ban đầu"
89,"tính chất canh tác trên diện tích rộng, đầu tư thấp"
90,"tính chất có nguồn gốc từ sinh vật sống"
91,"tính chất vượt trội về chiều cao so với mức bình thường"
92,"tính chất khách quan không thể hiện đặc điểm riêng"
93,"tính chất vượt trội về trình độ hoặc vị trí"
94,"tính chất sản xuất hàng loạt quy mô lớn bằng máy móc"
95,"tính chất cơ thể thấp và có nhiều thịt thừa"
96,"tính chất thiếu nước đến mức bề mặt bị vỡ"
97,"tính chất mang lại sự khỏe mạnh cho cơ thể"
98,"tính chất có độ pH lớn hơn 7"
99,"tính chất lặp đi lặp lại không ngừng nghỉ"
100,"tính chất từng xảy ra, được dùng làm căn cứ"
101,"tính chất quan trọng không thể thiếu cho sự tồn tại"
102,"tính chất giữ được sự bình tĩnh trong tâm trí"
103,"tính chất còn tiềm năng sử dụng nhưng chưa dùng đến"
104,"tính chất giữ ở trạng thái kéo dài hoặc siết chặt"
105,"tính chất chứa số lượng âm tiết lớn hơn bình thường"
106,"tính chất gây khó khăn cho người khác khi đáp ứng yêu cầu"
107,"tính chất tự cho mình hơn người và thiếu tôn trọng"
108,"tính chất quyết định nhanh chóng, không thay đổi ý định"
109,"tính chất chất lượng kém gây ra cảm giác khó chịu"
110,"tính chất không xảy ra một cách thẳng thắn rõ ràng"
111,"tính chất gây đau khổ, chết chóc cho người khác"
112,"tính chất còn dang dở, cần được hoàn thành"
113,"tính chất chỉ có trên giấy tờ, không áp dụng được."
114,"tính chất dễ nổi giận trước tác động bên ngoài"
115,"tính chất tuân theo quy tắc đã định sẵn"
116,"tính chất thiếu dũng khí và ý chí mạnh mẽ"
117,"tính chất diễn ra không ngừng nghỉ trong thời gian dài"
118,"tính chất không có khả năng nghe được âm thanh"
119,"tính chất vị giác gây cảm giác khó chịu ở lưỡi"
120,"tính chất có nhiệt độ rất thấp gây cảm giác khó chịu"
121,"tính chất thuộc về thời gian đã qua, không còn hợp thời"
122,"tính chất liên quan đến phép tính và con số"
123,"tính chất diễn đạt ý trọn vẹn bằng ít lời"
124,"tính chất có đạo đức và tuân theo lẽ phải"
125,"tính chất không chịu thay đổi ý kiến cá nhân"
126,"tính chất thiếu sức mạnh thể chất hoặc tinh thần"
127,"tính chất vượt trội về vị trí hoặc trình độ"
128,"tính chất có bề mặt không gồ ghề hoặc cong"
129,"tính chất chịu phần thua thiệt hơn so với lẽ thường"
130,"tính chất thích thú quá mức, khó kiểm soát bản thân"
131,"tính chất tạo cảm giác dễ chịu khi kết hợp"
132,"tính chất không dễ bị thay đổi hoặc lung lay"
133,"tính chất đạt trạng thái ổn định tốt nhất có thể"
134,"tính chất sẵn sàng chống lại nguy hiểm có thể xảy ra"
135,"tính chất yêu thương người khác một cách sâu sắc"
136,"tính chất không cùng nguồn gốc xuất xứ ban đầu"
137,"tính chất ở hướng mà gió đang thổi đến"
138,"tính chất đáp ứng yêu cầu ở mức độ chấp nhận được"
139,"tính chất bề mặt mịn, phản chiếu ánh sáng tốt"
140,"tính chất có sẵn để dùng khi cần thiết"
141,"tính chất có sức mạnh thể chất tốt và ổn định"
142,"tính chất không đẹp về mặt hình thức"
143,"tính chất tuân thủ quy tắc, khuôn phép"
144,"tính chất sẵn lòng bỏ qua lỗi lầm của người khác"
145,"tính chất thiếu ma sát gây khó khăn trong việc bám víu"
146,"tính chất mang cảm xúc giận dữ kéo dài với ai đó"
147,"tính chất gan dạ, không sợ nguy hiểm khi đối mặt khó khăn"
148,"tính chất không tồn tại trong thế giới vật chất hoặc lý trí"
149,"tính chất gây khó chịu mạnh mẽ cho các giác quan"
150,"tính chất kiêng khem lạc thú xác thịt và thể xác"
151,"tính chất mang lại nhiều lợi ích về vật chất tinh thần"
152,"tính chất thiếu thốn về số lượng hoặc chất lượng"
153,"tính chất không biết cách xử lý tình huống đột ngột"
154,"tính chất thiếu trải nghiệm sống và kiến thức thực tế"
155,"tính chất bay lên cao so với môi trường xung quanh"
156,"tính chất gây ra cảm giác mỏi mệt về thể chất, tinh thần"
157,"tính chất có khối lượng hoặc áp lực lớn"
158,"tính chất thiếu hụt dinh dưỡng cần thiết cho cơ thể"
159,"tính chất chia rẽ thành nhóm nhỏ khác biệt ý kiến"
160,"tính chất nước bao phủ hoàn toàn một khu vực"
161,"tính chất có gốc gác xã hội không cao"
162,"tính chất không nguyên chất do trộn thêm thứ khác"
163,"tính chất chín quá mức, mềm nhũn, không còn tươi ngon"
164,"tính chất khác hẳn, vượt trội so với mức bình thường"
165,"tính chất không gặp nguy hiểm hay tai nạn"
166,"tính chất đơn giản, thuận tiện khi dùng hoặc nắm bắt"
167,"tính chất không chứa bụi bẩn và có trật tự"
168,"tính chất dễ bực mình vì những điều nhỏ nhặt"
169,"tính chất có điểm chung để đối chiếu sự khác biệt"
170,"tính chất dòng chảy mạnh mẽ và khó kiểm soát"
171,"tính chất lặp lại theo khuôn mẫu có sẵn"
172,"tính chất gây ra nhiều thử thách và cần nỗ lực lớn"
173,"tính chất không tuân thủ quy định, đạo đức xã hội"
174,"tính chất khó bị phá hủy, chịu lực tốt"
175,"tính chất có thể dùng để lôi vật khác theo sau"
176,"tính chất tác động với cường độ nhỏ gây cảm giác dễ chịu"
177,"tính chất gây ra đau khổ lớn cho người khác."
178,"tính chất được cho phép thực hiện hành động nhất định"
179,"tính chất gây tổn hại lớn đến sức khỏe, tính mạng"
180,"tính chất thu hút sự quan tâm của mọi người"
181,"tính chất khác biệt so với điều thường thấy"
182,"tính chất khó lay chuyển và không gây thất vọng"
183,"tính chất gây đau đớn thể xác tinh thần lớn"
184,"tính chất không hoàn toàn khép kín với môi trường bên ngoài"
185,"tính chất thiếu nước, không ẩm ướt, gây cảm giác khó chịu"
186,"tính chất lặp đi lặp lại theo chu kỳ ổn định"
187,"tính chất xảy ra ngoài dự kiến không báo trước"
188,"tính chất quan trọng hàng đầu đối với sự vật"
189,"tính chất nhiều người hoạt động gây ồn ào"
190,"tính chất không sạch sẽ gây khó chịu thị giác, khứu giác"
191,"tính chất tồn tại trong trí óc con người"
192,"hành động nhận tiền công sau thời gian làm việc"
193,"tính chất liên quan đến thế giới của người chết"
194,"tính chất ngay thẳng chuẩn mực trong hành vi và đạo đức"
195,"tính chất cần bù đắp lượng nước đã mất"
196,"tính chất mệt mỏi thiếu sức sống thể hiện trên vẻ ngoài"
197,"tính chất tuân thủ chặt chẽ theo các quy tắc"
198,"tính chất vượt trội về kích thước hoặc sức mạnh"
199,"tính chất yếu đi về chất lượng hoặc số lượng"
200,"tính chất gây hấp dẫn, thu hút sự chú ý"
201,"tính chất gắn bó không dễ thay đổi về ý chí"
202,"tính chất nghe lời và làm theo lời người khác"
203,"tính chất nghe theo và làm theo yêu cầu"
204,"tính chất tràn đầy năng lượng, sẵn sàng hành động"
205,"tính chất không công khai, lặng lẽ diễn ra bí mật"
206,"tính chất gây cảm giác khó chịu khi nhìn bằng mắt"
207,"tính chất giống hệt về màu sắc và hình thức"
208,"tính chất có mặt cùng với thứ khác"
209,"tính chất hết nước hoặc chất lỏng vốn có"
210,"tính chất thu hút khiến người khác yêu thích và mong muốn"
211,"tính chất tự do thái quá, vượt khỏi khuôn phép thông thường"
212,"tính chất thiếu trật tự gây khó khăn trong kiểm soát"
213,"tính chất đòi hỏi giải quyết ngay lập tức"
214,"tính chất khác biệt không giống bất kỳ cái nào khác"
215,"tính chất nhiều vật nằm lên nhau tạo thành đống"
216,"tính chất dễ dàng thực hiện hoặc sử dụng"
217,"tính chất không có tiếng động gây ồn ào"
218,"tính chất mang màu sắc trung gian giữa trắng và đen"
219,"tính chất có thời gian cho bản thân hoặc thư giãn"
220,"tính chất tiến hành hoặc hoàn thành muộn hơn so với bình thường"
221,"tính chất khác thường so với lẽ thường tình"
222,"tính chất thiếu sự mới mẻ gây cảm giác chán"
223,"tính chất dễ bị tác động mạnh về tinh thần"
224,"tính chất có nhiều lông mọc dày đặc trên cơ thể"
225,"tính chất mất khả năng nhìn bằng mắt hoàn toàn"
226,"tính chất vượt quá một mức độ hoặc số lượng nhất định"
227,"tính chất chia thành nhiều phần riêng biệt được"
228,"tính chất thiếu năng lực làm việc hiệu quả"
229,"tính chất không sạch sẽ gây khó chịu về thị giác"
230,"tính chất hăng hái làm việc với tinh thần cao độ"
231,"tính chất không gây tổn thương thể xác, tinh thần"
232,"tính chất biểu thị số lượng vừa đủ một trăm đơn vị"
233,"tính chất có vị tương tự muối ăn"
234,"tính chất cảm thấy bất an trước điều chưa biết"
235,"tính chất không tuân theo quy định hoặc lẽ thường"
236,"tính chất sắp chết, suy yếu dần đến mức không thể phục hồi"
237,"tính chất diễn ra không ngừng nghỉ theo thời gian"
238,"tính chất chỉ về phía mặt trời lặn"
239,"tính chất gây cảm giác không tin tưởng ở người hoặc vật"
240,"tính chất có số lượng lớn hơn mức cần thiết"
241,"tính chất bị mất hoặc không tìm thấy được nữa"
242,"tính chất mở rộng hết cỡ, không còn gì che chắn"
243,"tính chất gây ra thương vong hoặc tổn hại nghiêm trọng"
244,"tính chất có nhiều điểm chung khiến khó phân biệt"
245,"tính chất hướng ra xa khỏi một điểm trung tâm"
246,"tính chất đẹp đẽ vượt trội gây ấn tượng mạnh mẽ"
247,"tính chất trình bày thông tin quá mức cần thiết"
248,"tính chất da có màu sẫm tối tự nhiên"
249,"tính chất không tuân thủ quy định của pháp luật"
250,"tính chất không phát ra âm thanh nào cả"
251,"tính chất không cứng cáp hoàn toàn khi chạm vào"
252,"tính chất lặp lại nhiều lần trở thành bình thường"
253,"tính chất thiếu sự giúp đỡ, cảm thấy cô đơn một mình"
254,"tính chất mất quyền tự chủ và bị điều khiển"
255,"tính chất làm việc trọn vẹn một ngày làm việc"
256,"tính chất có nhiều hoạt động và năng lượng"
257,"tính chất kém chất lượng, không đạt yêu cầu mong đợi"
258,"tính chất sẵn lòng tha thứ và thấu hiểu người khác"
259,"tính chất kích thước vật thể thấp hơn mức bình thường"
260,"tính chất nhô ra phía trước tạo cảm giác nguy hiểm"
261,"tính chất không gây xung đột, tạo cảm giác dễ chịu"
262,"tính chất không thể tiếp nhận thông tin bằng mắt"
263,"tính chất cảm thấy dễ chịu vì đạt được mong muốn"
264,"tính chất còn lại sau khi trừ đi phần hao hụt"
265,"tính chất phục tùng mệnh lệnh và hướng dẫn của người khác"
266,"tính chất có khoảng cách lớn giữa hai điểm"
267,"tính chất đi ngược lại luật cơ bản của một nước"
268,"tính chất kích thước ở mức dưới trung bình"
269,"tính chất suy đồi đạo đức, lệch lạc khỏi chuẩn mực xã hội"
270,"tính chất có bề mặt nhỏ, rời, không vón cục (vật chất)"
271,"tính chất có chung huyết thống, gắn bó dòng họ"
272,"tính chất gây cảm giác khó chịu về thể chất hoặc tinh thần"
273,"tính chất không có hình dạng cụ thể, không thể sờ thấy"
274,"tính chất thiếu đậm đà về hương vị hoặc cảm xúc"
275,"tính chất có vật nhọn mọc trên bề mặt"
276,"tính chất còn nguyên vỏ, chưa qua xử lý tách vỏ"
277,"tính chất khéo léo trong giao tiếp và giải quyết vấn đề"
278,"tính chất biết rõ, hiểu rõ về người, vật, việc"
279,"tính chất thiếu thốn vật chất, cuộc sống khó khăn"
280,"tính chất thiếu lưu ý dẫn đến sai sót"
281,"tính chất tạo thành góc không vuông với đường thẳng"
282,"tính chất ít khi xảy ra trên thực tế"
283,"tính chất đạt mức cần thiết không thừa không thiếu"
284,"tính chất không thể bị giác quan phát hiện"
285,"tính chất không tuân thủ theo quy định của pháp luật"
286,"tính chất xảy ra hoặc xuất hiện cứ mười bốn ngày một lần"
287,"tính chất vượt trội về kích thước hoặc sức lực"
288,"tính chất bị trộn lẫn tạp chất, không còn trạng thái ban đầu"
289,"tính chất có nhiều năng lượng, thể hiện cảm xúc mạnh mẽ."
290,"tính chất ngạc nhiên tột độ trước điều không đoán trước"
291,"tính chất liên kết chặt chẽ, hỗ trợ lẫn nhau trong chiến tranh"
292,"tính chất vượt trội so với mức độ thông thường"
293,"tính chất thể hiện khả năng xảy ra trong tương lai"
294,"tính chất chứa đựng nhiều yếu tố bên trong"
295,"tính chất sau cùng, không còn gì tiếp theo"
296,"tính chất dồn nhiều nỗ lực vào một vấn đề"
297,"tính chất không bị ràng buộc bởi bất kỳ điều kiện nào"
298,"tính chất đẹp lạ khác thường gợi cảm giác không thật"
299,"tính chất nhiều hơn mức cần thiết so với bình thường"
300,"tính chất tạo ra tác động lớn đến người khác"
301,"tính chất mang lại lợi ích hoặc tầm ảnh hưởng lớn"
302,"tính chất có khả năng thành công rất cao"
303,"tính chất diễn đạt thông tin sử dụng giọng nói"
304,"tính chất bệnh diễn tiến nhanh và nguy hiểm."
305,"tính chất ăn nói thiếu tế nhị gây khó chịu"
306,"tính chất không tìm thấy được vị trí hiện tại"
307,"tính chất thiếu năng lượng thể chất hoặc tinh thần"
308,"tính chất thiếu công bằng trong việc phân chia quyền lợi"
309,"tính chất có số lượng lớn hơn mức cần thiết"
310,"tính chất chứa nhiều nước ở bề mặt hoặc bên trong"
311,"tính chất phát triển đến giai đoạn tự lập hoàn toàn"
312,"tính chất mô phỏng âm thanh bằng từ ngữ"
313,"tính chất thiếu lớp mỡ dưới da"
314,"tính chất gây cảm giác muốn tìm hiểu thêm"
315,"tính chất đòi hỏi kỹ năng và sự tỉ mỉ cao"
316,"tính chất lo lắng, khó ngủ, trằn trọc về điều gì"
317,"tính chất được sắp xếp có trước có sau"
318,"tính chất yêu thích người cùng giới tính"
319,"tính chất có số lượng ít ỏi về kích thước hoặc số đếm"
320,"tính chất không sạch sẽ, gây khó chịu cho thị giác"
321,"tính chất không còn cây cỏ mọc ngoài ý muốn"
322,"tính chất có sức ảnh hưởng lớn tới người khác"
323,"tính chất có tất cả các phần cần thiết, không thiếu sót"
324,"tính chất thiếu sức sống trên da mặt người"
325,"tính chất dính vết nhơ, cần làm sạch để loại bỏ"
326,"tính chất gặp điều không tốt gây ra kết quả tiêu cực"
327,"tính chất ở mức độ rất thấp về chất lượng"
328,"tính chất có hình dạng, có thể cảm nhận bằng xúc giác"
329,"tính chất được gọi bằng một cái tên cụ thể"
330,"tính chất vượt quá mọi giới hạn thông thường"
331,"tính chất xảy ra ở lúc bắt đầu một quá trình"
332,"tính chất gây tổn hại cho sức khỏe hoặc môi trường"
333,"tính chất không có giới hạn về số lượng, kích thước"
334,"tính chất có kích thước vượt xa mức bình thường"
335,"tính chất vượt xa kích thước thông thường"
336,"tính chất vượt quá số lượng lớn thông thường"
337,"tính chất vị trí ở gần mặt dưới một vật khác"
338,"tính chất thay đổi để phù hợp với hoàn cảnh"
339,"tính chất mềm dẻo, dễ uốn nắn khi tác động lực"
340,"tính chất thiếu thông tin đầy đủ về sự việc"
341,"tính chất thiếu sự gắn kết, dễ bị tách rời."
342,"tính chất phù hợp với quy định hoặc chuẩn mực chung"
343,"tính chất để lộ phần vai hoặc tay của người mặc"
344,"tính chất chưa có đủ kỹ năng cần thiết làm việc"
345,"tính chất không thuộc về tôn giáo, đời thường"
346,"tính chất hấp thụ ánh sáng, âm thanh, không tạo hình ảnh/tiếng vọng"
347,"tính chất không có vấn đề cần giải quyết thêm"
348,"tính chất bắt chước người khác để tỏ ra sành điệu"
349,"tính chất không thẳng, tạo thành đường cong liên tiếp"
350,"tính chất không quan tâm và làm cho xong chuyện"
351,"tính chất cảm thấy dễ chịu vì được như ý"
352,"tính chất mất niềm tin vào điều tốt đẹp xảy đến"
353,"tính chất cảm thấy bất an trước điều có thể xảy ra"
354,"tính chất không phù hợp với lẽ thường hoặc quy tắc chung"
355,"tính chất đất tơi xốp sau khi làm đồng"
356,"tính chất thiếu giá trị so với mức trung bình"
357,"tính chất gây cảm giác sợ hãi và khó chịu lớn"
358,"tính chất thuộc về người dân, không liên quan quân đội, chính phủ"
359,"tính chất được che phủ, bảo vệ bằng lớp vật liệu bên ngoài"
360,"tính chất rộng rãi so với kích cỡ thông thường"
361,"tính chất giữ được hình dạng ban đầu của vải"
362,"tính chất diễn đạt ý bằng hình ảnh, không nói trực tiếp"
363,"tính chất đáp ứng yêu cầu hoặc mong muốn"
364,"tính chất trắng sáng giống màu tuyết"
365,"tính chất thiếu giá trị so với sự kỳ vọng"
366,"tính chất thiếu thành phần nhỏ bên trong quả, củ"
367,"tính chất quan tâm đến người khác hơn bản thân"
368,"tính chất trả lại hình ảnh hoặc ánh sáng của vật thể"
369,"tính chất không nổi bật, không có gì đặc biệt"
370,"tính chất không chuyển động, giữ nguyên vị trí, thường tiêu cực"
371,"tính chất do chính mình gây dựng nên"
372,"tính chất vui vẻ đón tiếp ai đó nhiệt tình"
373,"tính chất không bị giới hạn bởi bất cứ điều gì"
374,"tính chất thiếu dưỡng khí gây khó thở hoặc chết"
375,"tính chất thoát khỏi nguy hiểm nhờ sự giúp đỡ"
376,"tính chất yêu cầu đạt tiêu chuẩn rất cao"
377,"tính chất gợi cảm giác muốn có được vì tốt đẹp"
378,"tính chất thiếu tình cảm, gây đau khổ cho người khác"
379,"tính chất xem thường người khác một cách rõ rệt"
380,"tính chất có thể di chuyển từ nơi này sang nơi khác"
381,"tính chất gây khó chịu, tổn thương sâu sắc về mặt tinh thần"
382,"tính chất bất ngờ khi thấy điều lạ thường"
383,"tính chất tiêu dùng vượt quá mức cần thiết tài sản"
384,"tính chất gây ấn tượng mạnh về màu sắc và ánh sáng"
385,"tính chất dựa trên cảm xúc cá nhân hơn lý trí"
386,"tính chất không tồn tại trước đây"
387,"tính chất chưa từng trải qua hoặc biết đến"
388,"tính chất không có ngoại lệ, không còn nghi ngờ"
389,"tính chất rất cũ, không còn hợp thời đại"
390,"tính chất có nhiều thịt thừa trên cơ thể người."
391,"tính chất mất đi giá trị tốt đẹp ban đầu, trở nên xấu xa"
392,"tính chất có được một cách đơn giản nhờ nỗ lực nhỏ"
393,"tính chất không sạch sẽ và đáng bị khinh thường"
394,"tính chất quan trọng và cần thiết cho sự tồn tại"
395,"tính chất có nhiều thành phần cứng bên trong thịt cá"
396,"tính chất không sợ nguy hiểm, sẵn sàng đối mặt khó khăn"
397,"tính chất mất trật tự gây khó khăn kiểm soát"
398,"tính chất gây ra sự tiêu chảy mạnh ở đường ruột"
399,"tính chất sống theo chuẩn mực xã hội, được người khác tôn trọng"
400,"tính chất có tác động qua lại giữa hai bên"
401,"tính chất thiếu sự thật và trách nhiệm"
402,"tính chất tiếp diễn liên tục trong thời gian dài"
403,"tính chất không ổn định, có xu hướng chuyển dạng"
404,"tính chất căm ghét, muốn gây hại cho người khác"
405,"tính chất gầy nhỏ, dáng vẻ mềm mại, dễ thương"
406,"tính chất chưa phát triển đầy đủ ở thực vật hoặc quả"
407,"tính chất vượt quá kích thước thông thường"
408,"tính chất xếp sau vị trí dẫn đầu trong thứ tự"
409,"tính chất dễ thay đổi theo tác động bên ngoài"
410,"tính chất quan tâm đến hạnh phúc con người"
411,"tính chất quá chú trọng hình thức, nghi thức sáo rỗng"
412,"tính chất không thẳng, không đều, biến dạng so với hình dáng ban đầu"
413,"tính chất có chứa chất gây hại, không còn tinh khiết"
414,"tính chất gây cười một cách dí dỏm và vui vẻ"
415,"tính chất không hợp, gây hấn, muốn chống lại nhau"
416,"tính chất kích thước bé đến mức khó nhìn thấy"
417,"tính chất có khối lượng rất nhỏ gây cảm giác thoải mái"
418,"tính chất có khối lượng rất nhỏ so với kích thước"
419,"tính chất vượt quá mức bình thường, gây cảm giác mạnh"
420,"tính chất có màu sáng hơn bình thường ở da"
421,"tính chất có kích thước dưới mức bình thường so với vật khác"
422,"tính chất hoàn toàn chưa qua sử dụng, còn tốt"
423,"tính chất không có khả năng chống đối hoàn toàn"
424,"tính chất vượt quá mức độ bình thường chấp nhận được"
425,"tính chất giữ vững ý kiến, hành động dù gặp khó khăn"
426,"tính chất gây ra đau khổ, khó khăn cho người khác"
427,"tính chất có sự liên kết chặt chẽ giữa các phần"
428,"tính chất không gắn kết, có khoảng trống giữa các phần"
429,"tính chất không còn nguyên vẹn, mất khả năng sử dụng"
430,"tính chất thiếu sự cảm thông, gây khó khăn cho người khác"
431,"tính chất chịu đựng đau đớn về thể xác hoặc tinh thần"
432,"tính chất dễ vỡ thành nhiều mảnh nhỏ khi tác động"
433,"tính chất không vững chắc có nguy cơ bị ngã"
434,"tính chất có sự sống hoặc khả năng sinh sản"
435,"tính chất giữ thái độ ôn hòa kiểm soát cảm xúc"
436,"tính chất được bảo vệ bởi lớp kim loại kiên cố"
437,"tính chất không có gờ, giúp dễ dàng tiếp xúc"
438,"tính chất không có gì khác, giống hoàn toàn"
439,"tính chất chuẩn bị kỹ cho tương lai, tránh rủi ro"
440,"tính chất không thích làm việc cần thiết, tránh hoạt động"
441,"tính chất không được sử dụng hoặc chăm sóc, để mặc tự nhiên"
442,"tính chất không thẳng hàng với phương nằm ngang hoặc dọc"
443,"tính chất đầy năng lượng và biểu hiện ra bên ngoài"
444,"tính chất nhỏ hơn kích thước bình thường"
445,"tính chất không chấp nhận một ý kiến, hành động nào đó."
446,"tính chất cấu tạo từ những thành phần dài, mảnh liên kết"
447,"tính chất đạt mức độ gây khó chịu cao nhất"
448,"tính chất có nhiều màu sắc nổi bật bắt mắt"
449,"tính chất có nhiệt độ cao và phát ra ánh sáng"
450,"tính chất khác biệt so với điều thường thấy"
451,"tính chất đạt đến mức tốt nhất, không có khuyết điểm"
452,"tính chất gây cảm giác khó chịu mạnh ở mũi, mắt"
453,"tính chất dễ dàng thay đổi để thích nghi tình huống"
454,"tính chất quan trọng bậc nhất trong một tập hợp"
455,"tính chất sẵn sàng đánh nhau đến cùng không lùi bước"
456,"tính chất hấp thụ ánh sáng tạo chất hữu cơ ở thực vật"
457,"tính chất số lượng hoặc mức độ bị giới hạn"
458,"tính chất khác biệt so với điều bình thường, quen thuộc"
459,"tính chất có giá trị tốt đẹp nên được công nhận"
460,"tính chất không còn sắc bén để cắt gọt"
461,"tính chất có màu trắng xám ánh kim như kim loại bạc"
462,"tính chất có tiếng tăm tốt đẹp được nhiều người biết đến"
463,"tính chất đều đặn theo một chu kỳ lặp lại"
464,"tính chất giảm dần về vị trí hoặc giá trị"
465,"tính chất kinh tế chậm phát triển do thiếu công nghiệp"
466,"tính chất không gần về không gian hoặc thời gian"
467,"tính chất dễ nhận biết nhờ thông tin đầy đủ"
468,"tính chất dễ bị tổn thương, không bền vững"
469,"tính chất liên quan công việc hành chính tại cơ quan"
470,"tính chất có sức khỏe tốt, vóc dáng cân đối"
471,"tính chất nhỏ nhắn ở phần eo của người phụ nữ"
